time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,949,1,0,0
2,1,949,1,0,0
3.0,2,948,2,0,0
4.0,5,945,5,0,0
5.0,18,932,18,0,0
6.0,66,884,66,0,0
7.0,243,707,243,0,0
8.0,507,443,507,1,0
9.0,710,240,710,1,0
10.0,843,106,843,1,0
11.0,904,45,904,1,0
12.0,928,21,928,1,0
13.0,937,11,937,1,0
14.0,939,6,939,1,0
15.0,928,4,928,1,0
16.0,883,1,883,1,0
17.0,706,1,706,1,0
18.0,444,0,444,1,0
19.0,241,0,241,1,0
20.0,107,0,107,1,0
21.0,46,0,46,1,0
22.0,21,0,21,0,1
23.0,11,0,11,0,1
24.0,6,0,6,0,1
25.0,4,0,4,0,1
26.0,1,0,1,0,1
27.0,1,0,1,0,1
28.0,0,0,0,0,1
29.0,0,0,0,0,1
30.0,0,0,0,0,1
31.0,0,0,0,0,1
32.0,0,0,0,0,1
33.0,0,0,0,0,1
34.0,0,0,0,0,1
35.0,0,0,0,0,1
36.0,0,0,0,0,1
37.0,0,0,0,0,1
38.0,0,0,0,0,1
39.0,0,0,0,0,1
40.0,0,0,0,0,1
41.0,0,0,0,0,1
42.0,0,0,0,0,1
43.0,0,0,0,0,1
44.0,0,0,0,0,1
45.0,0,0,0,0,1
46.0,0,0,0,0,1
47.0,0,0,0,0,1
48.0,0,0,0,0,1
49.0,0,0,0,0,1
50.0,0,0,0,0,1
51.0,0,0,0,0,1
52.0,0,0,0,0,1
53.0,0,0,0,0,1
54.0,0,0,0,0,1
55.0,0,0,0,0,1
56.0,0,0,0,0,1
57.0,0,0,0,0,1
58.0,0,0,0,0,1
59.0,0,0,0,0,1
60.0,0,0,0,0,1
61.0,0,0,0,0,1
62.0,0,0,0,0,1
63.0,0,0,0,0,1
64.0,0,0,0,0,1
65.0,0,0,0,0,1
66.0,0,0,0,0,1
67.0,0,0,0,0,1
68.0,0,0,0,0,1
69.0,0,0,0,0,1
70.0,0,0,0,0,1
71.0,0,0,0,0,1
72.0,0,0,0,0,1
73.0,0,0,0,0,1
74.0,0,0,0,0,1
75.0,0,0,0,0,1
76.0,0,0,0,0,1
77.0,0,0,0,0,1
78.0,0,0,0,0,1
79.0,0,0,0,0,1
80.0,0,0,0,0,1
81.0,0,0,0,0,1
82.0,0,0,0,0,1
83.0,0,0,0,0,1
84.0,0,0,0,0,1
85.0,0,0,0,0,1
86.0,0,0,0,0,1
87.0,0,0,0,0,1
88.0,0,0,0,0,1
89.0,0,0,0,0,1
90.0,0,0,0,0,1
91.0,0,0,0,0,1
92.0,0,0,0,0,1
93.0,0,0,0,0,1
94.0,0,0,0,0,1
95.0,0,0,0,0,1
96.0,0,0,0,0,1
97.0,0,0,0,0,1
98.0,0,0,0,0,1
99.0,0,0,0,0,1
100.0,0,0,0,0,1
