time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,5,895,5,0,0
2.0,13,887,13,0,0
3.0,33,867,33,0,0
4.0,86,814,86,2,0
5.0,187,713,187,4,0
6.0,351,549,351,12,0
7.0,567,333,567,17,0
8.0,732,168,732,26,0
9.0,812,88,812,29,0
10.0,858,41,858,29,0
11.0,872,23,872,29,0
12.0,872,15,872,29,0
13.0,858,9,858,30,0
14.0,812,4,812,30,0
15.0,715,2,715,30,0
16.0,559,2,559,30,0
17.0,349,1,349,30,0
18.0,191,1,191,28,2
19.0,112,1,112,26,4
20.0,57,1,57,18,12
21.0,34,1,34,13,17
22.0,17,1,17,4,26
23.0,9,1,9,1,29
24.0,4,1,4,1,29
25.0,2,1,2,1,29
26.0,2,1,2,1,29
27.0,0,1,0,0,30
28.0,0,1,0,0,30
29.0,0,1,0,0,30
30.0,0,1,0,0,30
31.0,0,1,0,0,30
32.0,0,1,0,0,30
33.0,0,1,0,0,30
34.0,0,1,0,0,30
35.0,0,1,0,0,30
36.0,0,1,0,0,30
37.0,0,1,0,0,30
38.0,0,1,0,0,30
39.0,0,1,0,0,30
40.0,0,1,0,0,30
41.0,0,1,0,0,30
42.0,0,1,0,0,30
43.0,0,1,0,0,30
44.0,0,1,0,0,30
45.0,0,1,0,0,30
46.0,0,1,0,0,30
47.0,0,1,0,0,30
48.0,0,1,0,0,30
49.0,0,1,0,0,30
50.0,0,1,0,0,30
51.0,0,1,0,0,30
52.0,0,1,0,0,30
53.0,0,1,0,0,30
54.0,0,1,0,0,30
55.0,0,1,0,0,30
56.0,0,1,0,0,30
57.0,0,1,0,0,30
58.0,0,1,0,0,30
59.0,0,1,0,0,30
60.0,0,1,0,0,30
61.0,0,1,0,0,30
62.0,0,1,0,0,30
63.0,0,1,0,0,30
64.0,0,1,0,0,30
65.0,0,1,0,0,30
66.0,0,1,0,0,30
67.0,0,1,0,0,30
68.0,0,1,0,0,30
69.0,0,1,0,0,30
70.0,0,1,0,0,30
71.0,0,1,0,0,30
72.0,0,1,0,0,30
73.0,0,1,0,0,30
74.0,0,1,0,0,30
75.0,0,1,0,0,30
76.0,0,1,0,0,30
77.0,0,1,0,0,30
78.0,0,1,0,0,30
79.0,0,1,0,0,30
80.0,0,1,0,0,30
81.0,0,1,0,0,30
82.0,0,1,0,0,30
83.0,0,1,0,0,30
84.0,0,1,0,0,30
85.0,0,1,0,0,30
86.0,0,1,0,0,30
87.0,0,1,0,0,30
88.0,0,1,0,0,30
89.0,0,1,0,0,30
90.0,0,1,0,0,30
91.0,0,1,0,0,30
92.0,0,1,0,0,30
93.0,0,1,0,0,30
94.0,0,1,0,0,30
95.0,0,1,0,0,30
96.0,0,1,0,0,30
97.0,0,1,0,0,30
98.0,0,1,0,0,30
99.0,0,1,0,0,30
100.0,0,1,0,0,30
