time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,899,1,0,0
2,1,899,1,0,0
3.0,2,898,2,0,0
4.0,2,898,2,0,0
5.0,5,895,5,0,0
6.0,7,893,7,0,0
7.0,16,884,16,0,0
8.0,55,845,55,0,0
9.0,134,766,134,0,0
10.0,287,612,287,1,0
11.0,502,397,502,1,0
12.0,702,197,702,1,0
13.0,797,101,797,1,0
14.0,854,44,854,1,0
15.0,876,19,876,1,0
16.0,885,8,885,1,0
17.0,879,5,879,1,0
18.0,844,1,844,1,0
19.0,766,0,766,1,0
20.0,613,0,613,1,0
21.0,398,0,398,1,0
22.0,198,0,198,1,0
23.0,102,0,102,1,0
24.0,44,0,44,0,1
25.0,19,0,19,0,1
26.0,8,0,8,0,1
27.0,5,0,5,0,1
28.0,1,0,1,0,1
29.0,0,0,0,0,1
30.0,0,0,0,0,1
31.0,0,0,0,0,1
32.0,0,0,0,0,1
33.0,0,0,0,0,1
34.0,0,0,0,0,1
35.0,0,0,0,0,1
36.0,0,0,0,0,1
37.0,0,0,0,0,1
38.0,0,0,0,0,1
39.0,0,0,0,0,1
40.0,0,0,0,0,1
41.0,0,0,0,0,1
42.0,0,0,0,0,1
43.0,0,0,0,0,1
44.0,0,0,0,0,1
45.0,0,0,0,0,1
46.0,0,0,0,0,1
47.0,0,0,0,0,1
48.0,0,0,0,0,1
49.0,0,0,0,0,1
50.0,0,0,0,0,1
51.0,0,0,0,0,1
52.0,0,0,0,0,1
53.0,0,0,0,0,1
54.0,0,0,0,0,1
55.0,0,0,0,0,1
56.0,0,0,0,0,1
57.0,0,0,0,0,1
58.0,0,0,0,0,1
59.0,0,0,0,0,1
60.0,0,0,0,0,1
61.0,0,0,0,0,1
62.0,0,0,0,0,1
63.0,0,0,0,0,1
64.0,0,0,0,0,1
65.0,0,0,0,0,1
66.0,0,0,0,0,1
67.0,0,0,0,0,1
68.0,0,0,0,0,1
69.0,0,0,0,0,1
70.0,0,0,0,0,1
71.0,0,0,0,0,1
72.0,0,0,0,0,1
73.0,0,0,0,0,1
74.0,0,0,0,0,1
75.0,0,0,0,0,1
76.0,0,0,0,0,1
77.0,0,0,0,0,1
78.0,0,0,0,0,1
79.0,0,0,0,0,1
80.0,0,0,0,0,1
81.0,0,0,0,0,1
82.0,0,0,0,0,1
83.0,0,0,0,0,1
84.0,0,0,0,0,1
85.0,0,0,0,0,1
86.0,0,0,0,0,1
87.0,0,0,0,0,1
88.0,0,0,0,0,1
89.0,0,0,0,0,1
90.0,0,0,0,0,1
91.0,0,0,0,0,1
92.0,0,0,0,0,1
93.0,0,0,0,0,1
94.0,0,0,0,0,1
95.0,0,0,0,0,1
96.0,0,0,0,0,1
97.0,0,0,0,0,1
98.0,0,0,0,0,1
99.0,0,0,0,0,1
100.0,0,0,0,0,1
