"","time","action","age_interval","gender","virus_type"
"1",4,"infected","40-49","women",1
"2",10,"treatment","40-49","men",1
"3",12,"infected","0-9","women",1
"4",14,"infected","30-39","men",1
"5",15,"infected","10-19","women",1
"6",15,"infected","60-69","men",1
"7",15,"infected","60-69","women",1
"8",15,"infected","20-29","women",1
"9",18,"dead","40-49","women",1
"10",18,"infected","60-69","women",1
"11",18,"infected","0-9","men",1
"12",18,"infected","0-9","women",1
"13",18,"infected","50-59","men",1
"14",18,"infected","0-9","men",1
"15",19,"infected","70-79","men",1
"16",19,"infected","40-49","women",1
"17",19,"infected","70-79","women",1
"18",19,"infected","40-49","women",1
"19",19,"infected","40-49","women",1
"20",19,"infected","60-69","women",1
"21",19,"infected","40-49","women",1
"22",20,"infected","0-9","women",1
"23",20,"infected","30-39","men",1
"24",20,"infected","30-39","men",1
"25",20,"infected","40-49","men",1
"26",20,"infected","20-29","women",1
"27",20,"infected","40-49","men",1
"28",21,"infected","40-49","men",1
"29",21,"infected","20-29","men",1
"30",21,"infected","70-79","women",1
"31",21,"infected","40-49","men",1
"32",21,"infected","40-49","men",1
"33",21,"infected","40-49","women",1
"34",21,"infected","10-19","men",1
"35",21,"infected","50-59","women",1
"36",21,"infected","40-49","men",1
"37",21,"infected","0-9","women",1
"38",21,"infected","0-9","men",1
"39",22,"treatment","0-9","women",1
"40",22,"infected","20-29","women",1
"41",22,"infected","30-39","women",1
"42",22,"infected","0-9","men",1
"43",22,"infected","30-39","women",1
"44",22,"infected","10-19","men",1
"45",22,"infected","0-9","men",1
"46",22,"infected","60-69","men",1
"47",22,"infected","20-29","men",1
"48",22,"infected","60-69","men",1
"49",22,"infected","80-89","women",1
"50",22,"infected","0-9","men",1
"51",23,"infected","40-49","men",1
"52",23,"infected","30-39","women",1
"53",23,"infected","70-79","men",1
"54",23,"infected","50-59","men",1
"55",23,"infected","60-69","women",1
"56",23,"infected","0-9","men",1
"57",23,"infected","40-49","men",1
"58",23,"infected","30-39","women",1
"59",23,"infected","10-19","men",1
"60",23,"infected","80-89","women",1
"61",23,"infected","40-49","women",1
"62",23,"infected","70-79","men",1
"63",23,"infected","0-9","men",1
"64",23,"infected","0-9","women",1
"65",24,"treatment","30-39","men",1
"66",24,"infected","30-39","men",1
"67",24,"infected","40-49","men",1
"68",24,"infected","50-59","men",1
"69",24,"infected","50-59","men",1
"70",24,"infected","40-49","women",1
"71",24,"infected","40-49","women",1
"72",24,"infected","60-69","women",1
"73",24,"infected","60-69","men",1
"74",24,"infected","50-59","women",1
"75",24,"infected","70-79","women",1
"76",24,"infected","30-39","men",1
"77",24,"infected","50-59","women",1
"78",24,"infected","10-19","women",1
"79",24,"infected","10-19","men",1
"80",24,"infected","60-69","women",1
"81",24,"infected","40-49","men",1
"82",24,"infected","20-29","women",1
"83",24,"infected","80-89","women",1
"84",24,"infected","60-69","women",1
"85",25,"treatment","60-69","men",1
"86",25,"infected","50-59","men",1
"87",25,"infected","50-59","women",1
"88",25,"infected","40-49","men",1
"89",25,"infected","20-29","men",1
"90",25,"infected","30-39","women",1
"91",25,"infected","20-29","men",1
"92",25,"infected","40-49","women",1
"93",25,"infected","0-9","women",1
"94",25,"infected","40-49","women",1
"95",25,"infected","20-29","men",1
"96",26,"infected","50-59","women",1
"97",26,"infected","70-79","women",1
"98",26,"infected","20-29","men",1
"99",26,"infected","10-19","women",1
"100",26,"infected","50-59","men",1
"101",26,"infected","20-29","men",1
"102",26,"infected","40-49","men",1
"103",26,"infected","30-39","women",1
"104",26,"infected","10-19","men",1
"105",26,"infected","10-19","women",1
"106",26,"infected","10-19","women",1
"107",26,"infected","70-79","women",1
"108",26,"infected","40-49","men",1
"109",26,"infected","70-79","women",1
"110",26,"infected","50-59","men",1
"111",26,"infected","20-29","men",1
"112",26,"infected","40-49","men",1
"113",26,"infected","40-49","women",1
"114",26,"infected","40-49","women",1
"115",26,"infected","40-49","men",1
"116",26,"infected","30-39","men",1
"117",26,"infected","50-59","men",1
"118",27,"infected","80-89","women",1
"119",27,"infected","50-59","men",1
"120",27,"infected","60-69","women",1
"121",27,"infected","60-69","women",1
"122",27,"infected","60-69","men",1
"123",27,"infected","20-29","women",1
"124",27,"infected","20-29","men",1
"125",27,"infected","20-29","men",1
"126",27,"infected","80-89","women",1
"127",27,"infected","60-69","men",1
"128",27,"infected","30-39","women",1
"129",27,"infected","0-9","men",1
"130",27,"infected","30-39","men",1
"131",27,"infected","50-59","women",1
"132",27,"infected","40-49","men",1
"133",27,"infected","50-59","women",1
"134",27,"infected","40-49","women",1
"135",27,"infected","50-59","women",1
"136",27,"infected","60-69","men",1
"137",27,"infected","50-59","men",1
"138",27,"infected","50-59","women",1
"139",27,"infected","30-39","men",1
"140",27,"infected","30-39","women",1
"141",27,"infected","50-59","women",1
"142",27,"infected","10-19","men",1
"143",27,"infected","60-69","women",1
"144",27,"infected","10-19","men",1
"145",28,"treatment","0-9","women",1
"146",28,"infected","70-79","women",1
"147",28,"infected","30-39","men",1
"148",28,"infected","0-9","men",1
"149",28,"infected","10-19","women",1
"150",28,"infected","20-29","men",1
