time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,9,981,9,0,0
2.0,52,938,52,0,0
3.0,171,819,171,1,0
4.0,426,564,426,2,0
5.0,671,319,671,2,0
6.0,847,143,847,2,0
7.0,930,60,930,2,0
8.0,960,30,960,2,0
9.0,979,11,979,2,0
10.0,983,6,983,2,0
11.0,975,6,975,2,0
12.0,933,5,933,2,0
13.0,816,4,816,2,0
14.0,564,2,564,2,0
15.0,319,2,319,2,0
16.0,143,2,143,2,0
17.0,59,2,59,1,1
18.0,28,2,28,0,2
19.0,10,2,10,0,2
20.0,5,2,5,0,2
21.0,5,2,5,0,2
22.0,4,2,4,0,2
23.0,3,2,3,0,2
24.0,1,2,1,0,2
25.0,0,2,0,0,2
26.0,0,2,0,0,2
27.0,0,2,0,0,2
28.0,0,2,0,0,2
29.0,0,2,0,0,2
30.0,0,2,0,0,2
31.0,0,2,0,0,2
32.0,0,2,0,0,2
33.0,0,2,0,0,2
34.0,0,2,0,0,2
35.0,0,2,0,0,2
36.0,0,2,0,0,2
37.0,0,2,0,0,2
38.0,0,2,0,0,2
39.0,0,2,0,0,2
40.0,0,2,0,0,2
41.0,0,2,0,0,2
42.0,0,2,0,0,2
43.0,0,2,0,0,2
44.0,0,2,0,0,2
45.0,0,2,0,0,2
46.0,0,2,0,0,2
47.0,0,2,0,0,2
48.0,0,2,0,0,2
49.0,0,2,0,0,2
50.0,0,2,0,0,2
51.0,0,2,0,0,2
52.0,0,2,0,0,2
53.0,0,2,0,0,2
54.0,0,2,0,0,2
55.0,0,2,0,0,2
56.0,0,2,0,0,2
57.0,0,2,0,0,2
58.0,0,2,0,0,2
59.0,0,2,0,0,2
60.0,0,2,0,0,2
61.0,0,2,0,0,2
62.0,0,2,0,0,2
63.0,0,2,0,0,2
64.0,0,2,0,0,2
65.0,0,2,0,0,2
66.0,0,2,0,0,2
67.0,0,2,0,0,2
68.0,0,2,0,0,2
69.0,0,2,0,0,2
70.0,0,2,0,0,2
71.0,0,2,0,0,2
72.0,0,2,0,0,2
73.0,0,2,0,0,2
74.0,0,2,0,0,2
75.0,0,2,0,0,2
76.0,0,2,0,0,2
77.0,0,2,0,0,2
78.0,0,2,0,0,2
79.0,0,2,0,0,2
80.0,0,2,0,0,2
81.0,0,2,0,0,2
82.0,0,2,0,0,2
83.0,0,2,0,0,2
84.0,0,2,0,0,2
85.0,0,2,0,0,2
86.0,0,2,0,0,2
87.0,0,2,0,0,2
88.0,0,2,0,0,2
89.0,0,2,0,0,2
90.0,0,2,0,0,2
91.0,0,2,0,0,2
92.0,0,2,0,0,2
93.0,0,2,0,0,2
94.0,0,2,0,0,2
95.0,0,2,0,0,2
96.0,0,2,0,0,2
97.0,0,2,0,0,2
98.0,0,2,0,0,2
99.0,0,2,0,0,2
100.0,0,2,0,0,2
