time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,988,2,0,0
2.0,6,984,6,0,0
3.0,9,981,9,0,0
4.0,47,943,47,0,0
5.0,163,827,163,0,0
6.0,395,595,395,1,0
7.0,643,347,643,1,0
8.0,800,190,800,2,0
9.0,894,96,894,2,0
10.0,940,49,940,2,0
11.0,972,16,972,2,0
12.0,973,11,973,2,0
13.0,972,9,972,2,0
14.0,934,9,934,2,0
15.0,818,9,818,2,0
16.0,588,8,588,2,0
17.0,341,7,341,2,0
18.0,185,7,185,2,0
19.0,91,7,91,2,0
20.0,43,7,43,1,1
21.0,10,7,10,1,1
22.0,4,7,4,0,2
23.0,2,7,2,0,2
24.0,2,7,2,0,2
25.0,2,7,2,0,2
26.0,1,7,1,0,2
27.0,0,7,0,0,2
28.0,0,7,0,0,2
29.0,0,7,0,0,2
30.0,0,7,0,0,2
31.0,0,7,0,0,2
32.0,0,7,0,0,2
33.0,0,7,0,0,2
34.0,0,7,0,0,2
35.0,0,7,0,0,2
36.0,0,7,0,0,2
37.0,0,7,0,0,2
38.0,0,7,0,0,2
39.0,0,7,0,0,2
40.0,0,7,0,0,2
41.0,0,7,0,0,2
42.0,0,7,0,0,2
43.0,0,7,0,0,2
44.0,0,7,0,0,2
45.0,0,7,0,0,2
46.0,0,7,0,0,2
47.0,0,7,0,0,2
48.0,0,7,0,0,2
49.0,0,7,0,0,2
50.0,0,7,0,0,2
51.0,0,7,0,0,2
52.0,0,7,0,0,2
53.0,0,7,0,0,2
54.0,0,7,0,0,2
55.0,0,7,0,0,2
56.0,0,7,0,0,2
57.0,0,7,0,0,2
58.0,0,7,0,0,2
59.0,0,7,0,0,2
60.0,0,7,0,0,2
61.0,0,7,0,0,2
62.0,0,7,0,0,2
63.0,0,7,0,0,2
64.0,0,7,0,0,2
65.0,0,7,0,0,2
66.0,0,7,0,0,2
67.0,0,7,0,0,2
68.0,0,7,0,0,2
69.0,0,7,0,0,2
70.0,0,7,0,0,2
71.0,0,7,0,0,2
72.0,0,7,0,0,2
73.0,0,7,0,0,2
74.0,0,7,0,0,2
75.0,0,7,0,0,2
76.0,0,7,0,0,2
77.0,0,7,0,0,2
78.0,0,7,0,0,2
79.0,0,7,0,0,2
80.0,0,7,0,0,2
81.0,0,7,0,0,2
82.0,0,7,0,0,2
83.0,0,7,0,0,2
84.0,0,7,0,0,2
85.0,0,7,0,0,2
86.0,0,7,0,0,2
87.0,0,7,0,0,2
88.0,0,7,0,0,2
89.0,0,7,0,0,2
90.0,0,7,0,0,2
91.0,0,7,0,0,2
92.0,0,7,0,0,2
93.0,0,7,0,0,2
94.0,0,7,0,0,2
95.0,0,7,0,0,2
96.0,0,7,0,0,2
97.0,0,7,0,0,2
98.0,0,7,0,0,2
99.0,0,7,0,0,2
100.0,0,7,0,0,2
