time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,989,1,0,0
2,1,989,1,0,0
3.0,16,974,16,0,0
4.0,51,939,51,2,0
5.0,161,829,161,2,0
6.0,425,565,425,14,0
7.0,673,317,673,20,0
8.0,839,151,839,29,0
9.0,920,70,920,30,0
10.0,956,33,956,31,0
11.0,971,18,971,32,0
12.0,976,13,976,32,0
13.0,964,10,964,32,0
14.0,934,7,934,33,0
15.0,825,6,825,33,0
16.0,574,5,574,33,0
17.0,332,5,332,33,0
18.0,173,5,173,31,2
19.0,93,5,93,31,2
20.0,45,5,45,19,14
21.0,25,5,25,13,20
22.0,11,5,11,4,29
23.0,7,5,7,3,30
24.0,4,5,4,2,31
25.0,2,5,2,1,32
26.0,1,5,1,1,32
27.0,1,5,1,1,32
28.0,0,5,0,0,33
29.0,0,5,0,0,33
30.0,0,5,0,0,33
31.0,0,5,0,0,33
32.0,0,5,0,0,33
33.0,0,5,0,0,33
34.0,0,5,0,0,33
35.0,0,5,0,0,33
36.0,0,5,0,0,33
37.0,0,5,0,0,33
38.0,0,5,0,0,33
39.0,0,5,0,0,33
40.0,0,5,0,0,33
41.0,0,5,0,0,33
42.0,0,5,0,0,33
43.0,0,5,0,0,33
44.0,0,5,0,0,33
45.0,0,5,0,0,33
46.0,0,5,0,0,33
47.0,0,5,0,0,33
48.0,0,5,0,0,33
49.0,0,5,0,0,33
50.0,0,5,0,0,33
51.0,0,5,0,0,33
52.0,0,5,0,0,33
53.0,0,5,0,0,33
54.0,0,5,0,0,33
55.0,0,5,0,0,33
56.0,0,5,0,0,33
57.0,0,5,0,0,33
58.0,0,5,0,0,33
59.0,0,5,0,0,33
60.0,0,5,0,0,33
61.0,0,5,0,0,33
62.0,0,5,0,0,33
63.0,0,5,0,0,33
64.0,0,5,0,0,33
65.0,0,5,0,0,33
66.0,0,5,0,0,33
67.0,0,5,0,0,33
68.0,0,5,0,0,33
69.0,0,5,0,0,33
70.0,0,5,0,0,33
71.0,0,5,0,0,33
72.0,0,5,0,0,33
73.0,0,5,0,0,33
74.0,0,5,0,0,33
75.0,0,5,0,0,33
76.0,0,5,0,0,33
77.0,0,5,0,0,33
78.0,0,5,0,0,33
79.0,0,5,0,0,33
80.0,0,5,0,0,33
81.0,0,5,0,0,33
82.0,0,5,0,0,33
83.0,0,5,0,0,33
84.0,0,5,0,0,33
85.0,0,5,0,0,33
86.0,0,5,0,0,33
87.0,0,5,0,0,33
88.0,0,5,0,0,33
89.0,0,5,0,0,33
90.0,0,5,0,0,33
91.0,0,5,0,0,33
92.0,0,5,0,0,33
93.0,0,5,0,0,33
94.0,0,5,0,0,33
95.0,0,5,0,0,33
96.0,0,5,0,0,33
97.0,0,5,0,0,33
98.0,0,5,0,0,33
99.0,0,5,0,0,33
100.0,0,5,0,0,33
