time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,10,980,10,1,0
2.0,298,692,298,27,0
3.0,860,130,860,60,0
4.0,975,15,975,69,0
5.0,986,4,986,69,0
6.0,989,1,989,69,0
7.0,989,1,989,69,0
8.0,990,0,990,69,0
9.0,990,0,990,69,0
10.0,989,0,989,69,0
11.0,981,0,981,69,0
12.0,719,0,719,69,0
13.0,190,0,190,69,0
14.0,84,0,84,69,0
15.0,72,0,72,68,1
16.0,43,0,43,42,27
17.0,10,0,10,9,60
18.0,0,0,0,0,69
19.0,0,0,0,0,69
20.0,0,0,0,0,69
21.0,0,0,0,0,69
22.0,0,0,0,0,69
23.0,0,0,0,0,69
24.0,0,0,0,0,69
25.0,0,0,0,0,69
26.0,0,0,0,0,69
27.0,0,0,0,0,69
28.0,0,0,0,0,69
29.0,0,0,0,0,69
30.0,0,0,0,0,69
31.0,0,0,0,0,69
32.0,0,0,0,0,69
33.0,0,0,0,0,69
34.0,0,0,0,0,69
35.0,0,0,0,0,69
36.0,0,0,0,0,69
37.0,0,0,0,0,69
38.0,0,0,0,0,69
39.0,0,0,0,0,69
40.0,0,0,0,0,69
41.0,0,0,0,0,69
42.0,0,0,0,0,69
43.0,0,0,0,0,69
44.0,0,0,0,0,69
45.0,0,0,0,0,69
46.0,0,0,0,0,69
47.0,0,0,0,0,69
48.0,0,0,0,0,69
49.0,0,0,0,0,69
50.0,0,0,0,0,69
51.0,0,0,0,0,69
52.0,0,0,0,0,69
53.0,0,0,0,0,69
54.0,0,0,0,0,69
55.0,0,0,0,0,69
56.0,0,0,0,0,69
57.0,0,0,0,0,69
58.0,0,0,0,0,69
59.0,0,0,0,0,69
60.0,0,0,0,0,69
61.0,0,0,0,0,69
62.0,0,0,0,0,69
63.0,0,0,0,0,69
64.0,0,0,0,0,69
65.0,0,0,0,0,69
66.0,0,0,0,0,69
67.0,0,0,0,0,69
68.0,0,0,0,0,69
69.0,0,0,0,0,69
70.0,0,0,0,0,69
71.0,0,0,0,0,69
72.0,0,0,0,0,69
73.0,0,0,0,0,69
74.0,0,0,0,0,69
75.0,0,0,0,0,69
76.0,0,0,0,0,69
77.0,0,0,0,0,69
78.0,0,0,0,0,69
79.0,0,0,0,0,69
80.0,0,0,0,0,69
81.0,0,0,0,0,69
82.0,0,0,0,0,69
83.0,0,0,0,0,69
84.0,0,0,0,0,69
85.0,0,0,0,0,69
86.0,0,0,0,0,69
87.0,0,0,0,0,69
88.0,0,0,0,0,69
89.0,0,0,0,0,69
90.0,0,0,0,0,69
91.0,0,0,0,0,69
92.0,0,0,0,0,69
93.0,0,0,0,0,69
94.0,0,0,0,0,69
95.0,0,0,0,0,69
96.0,0,0,0,0,69
97.0,0,0,0,0,69
98.0,0,0,0,0,69
99.0,0,0,0,0,69
100.0,0,0,0,0,69
