time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,5,795,5,0,0
2.0,8,792,8,0,0
3.0,11,789,11,0,0
4.0,15,785,15,0,0
5.0,40,760,40,0,0
6.0,111,689,111,2,0
7.0,211,589,211,4,0
8.0,352,448,352,5,0
9.0,498,302,498,6,0
10.0,595,204,595,6,0
11.0,675,120,675,6,0
12.0,709,83,709,6,0
13.0,731,58,731,6,0
14.0,743,42,743,6,0
15.0,725,35,725,6,0
16.0,659,32,659,6,0
17.0,564,29,564,6,0
18.0,424,29,424,6,0
19.0,279,29,279,6,0
20.0,179,29,179,4,2
21.0,93,29,93,2,4
22.0,55,29,55,1,5
23.0,29,29,29,0,6
24.0,13,29,13,0,6
25.0,6,29,6,0,6
26.0,3,29,3,0,6
27.0,0,29,0,0,6
28.0,0,29,0,0,6
29.0,0,29,0,0,6
30.0,0,29,0,0,6
31.0,0,29,0,0,6
32.0,0,29,0,0,6
33.0,0,29,0,0,6
34.0,0,29,0,0,6
35.0,0,29,0,0,6
36.0,0,29,0,0,6
37.0,0,29,0,0,6
38.0,0,29,0,0,6
39.0,0,29,0,0,6
40.0,0,29,0,0,6
41.0,0,29,0,0,6
42.0,0,29,0,0,6
43.0,0,29,0,0,6
44.0,0,29,0,0,6
45.0,0,29,0,0,6
46.0,0,29,0,0,6
47.0,0,29,0,0,6
48.0,0,29,0,0,6
49.0,0,29,0,0,6
50.0,0,29,0,0,6
51.0,0,29,0,0,6
52.0,0,29,0,0,6
53.0,0,29,0,0,6
54.0,0,29,0,0,6
55.0,0,29,0,0,6
56.0,0,29,0,0,6
57.0,0,29,0,0,6
58.0,0,29,0,0,6
59.0,0,29,0,0,6
60.0,0,29,0,0,6
61.0,0,29,0,0,6
62.0,0,29,0,0,6
63.0,0,29,0,0,6
64.0,0,29,0,0,6
65.0,0,29,0,0,6
66.0,0,29,0,0,6
67.0,0,29,0,0,6
68.0,0,29,0,0,6
69.0,0,29,0,0,6
70.0,0,29,0,0,6
71.0,0,29,0,0,6
72.0,0,29,0,0,6
73.0,0,29,0,0,6
74.0,0,29,0,0,6
75.0,0,29,0,0,6
76.0,0,29,0,0,6
77.0,0,29,0,0,6
78.0,0,29,0,0,6
79.0,0,29,0,0,6
80.0,0,29,0,0,6
81.0,0,29,0,0,6
82.0,0,29,0,0,6
83.0,0,29,0,0,6
84.0,0,29,0,0,6
85.0,0,29,0,0,6
86.0,0,29,0,0,6
87.0,0,29,0,0,6
88.0,0,29,0,0,6
89.0,0,29,0,0,6
90.0,0,29,0,0,6
91.0,0,29,0,0,6
92.0,0,29,0,0,6
93.0,0,29,0,0,6
94.0,0,29,0,0,6
95.0,0,29,0,0,6
96.0,0,29,0,0,6
97.0,0,29,0,0,6
98.0,0,29,0,0,6
99.0,0,29,0,0,6
100.0,0,29,0,0,6
