time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,27,963,27,0,0
2.0,196,794,196,3,0
3.0,605,385,605,13,0
4.0,853,137,853,16,0
5.0,941,49,941,19,0
6.0,974,16,974,20,0
7.0,983,7,983,21,0
8.0,989,1,989,21,0
9.0,990,0,990,21,0
10.0,989,0,989,21,0
11.0,963,0,963,21,0
12.0,797,0,797,21,0
13.0,398,0,398,21,0
14.0,153,0,153,21,0
15.0,68,0,68,21,0
16.0,33,0,33,18,3
17.0,15,0,15,8,13
18.0,6,0,6,5,16
19.0,2,0,2,2,19
20.0,1,0,1,1,20
21.0,0,0,0,0,21
22.0,0,0,0,0,21
23.0,0,0,0,0,21
24.0,0,0,0,0,21
25.0,0,0,0,0,21
26.0,0,0,0,0,21
27.0,0,0,0,0,21
28.0,0,0,0,0,21
29.0,0,0,0,0,21
30.0,0,0,0,0,21
31.0,0,0,0,0,21
32.0,0,0,0,0,21
33.0,0,0,0,0,21
34.0,0,0,0,0,21
35.0,0,0,0,0,21
36.0,0,0,0,0,21
37.0,0,0,0,0,21
38.0,0,0,0,0,21
39.0,0,0,0,0,21
40.0,0,0,0,0,21
41.0,0,0,0,0,21
42.0,0,0,0,0,21
43.0,0,0,0,0,21
44.0,0,0,0,0,21
45.0,0,0,0,0,21
46.0,0,0,0,0,21
47.0,0,0,0,0,21
48.0,0,0,0,0,21
49.0,0,0,0,0,21
50.0,0,0,0,0,21
51.0,0,0,0,0,21
52.0,0,0,0,0,21
53.0,0,0,0,0,21
54.0,0,0,0,0,21
55.0,0,0,0,0,21
56.0,0,0,0,0,21
57.0,0,0,0,0,21
58.0,0,0,0,0,21
59.0,0,0,0,0,21
60.0,0,0,0,0,21
61.0,0,0,0,0,21
62.0,0,0,0,0,21
63.0,0,0,0,0,21
64.0,0,0,0,0,21
65.0,0,0,0,0,21
66.0,0,0,0,0,21
67.0,0,0,0,0,21
68.0,0,0,0,0,21
69.0,0,0,0,0,21
70.0,0,0,0,0,21
71.0,0,0,0,0,21
72.0,0,0,0,0,21
73.0,0,0,0,0,21
74.0,0,0,0,0,21
75.0,0,0,0,0,21
76.0,0,0,0,0,21
77.0,0,0,0,0,21
78.0,0,0,0,0,21
79.0,0,0,0,0,21
80.0,0,0,0,0,21
81.0,0,0,0,0,21
82.0,0,0,0,0,21
83.0,0,0,0,0,21
84.0,0,0,0,0,21
85.0,0,0,0,0,21
86.0,0,0,0,0,21
87.0,0,0,0,0,21
88.0,0,0,0,0,21
89.0,0,0,0,0,21
90.0,0,0,0,0,21
91.0,0,0,0,0,21
92.0,0,0,0,0,21
93.0,0,0,0,0,21
94.0,0,0,0,0,21
95.0,0,0,0,0,21
96.0,0,0,0,0,21
97.0,0,0,0,0,21
98.0,0,0,0,0,21
99.0,0,0,0,0,21
100.0,0,0,0,0,21
