time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,949,1,0,0
2,1,949,1,0,0
3,1,949,1,0,0
4.0,3,947,3,0,0
5.0,3,947,3,0,0
6.0,4,946,4,0,0
7.0,8,942,8,0,0
8.0,16,934,16,0,0
9.0,35,915,35,0,0
10.0,61,888,61,0,0
11.0,127,822,127,0,0
12.0,238,711,238,1,0
13.0,375,574,375,1,0
14.0,522,425,522,1,0
15.0,631,316,631,1,0
16.0,742,204,742,1,0
17.0,814,128,814,1,0
18.0,858,76,858,1,0
19.0,863,52,863,1,0
20.0,855,33,855,1,0
21.0,800,22,800,1,0
22.0,696,16,696,1,0
23.0,565,10,565,1,0
24.0,417,9,417,1,0
25.0,310,7,310,1,0
26.0,197,7,197,0,1
27.0,122,6,122,0,1
28.0,71,5,71,0,1
29.0,47,5,47,0,1
30.0,28,5,28,0,1
31.0,17,5,17,0,1
32.0,11,5,11,0,1
33.0,5,5,5,0,1
34.0,4,5,4,0,1
35.0,2,5,2,0,1
36.0,2,5,2,0,1
37.0,1,5,1,0,1
38.0,0,5,0,0,1
39.0,0,5,0,0,1
40.0,0,5,0,0,1
41.0,0,5,0,0,1
42.0,0,5,0,0,1
43.0,0,5,0,0,1
44.0,0,5,0,0,1
45.0,0,5,0,0,1
46.0,0,5,0,0,1
47.0,0,5,0,0,1
48.0,0,5,0,0,1
49.0,0,5,0,0,1
50.0,0,5,0,0,1
51.0,0,5,0,0,1
52.0,0,5,0,0,1
53.0,0,5,0,0,1
54.0,0,5,0,0,1
55.0,0,5,0,0,1
56.0,0,5,0,0,1
57.0,0,5,0,0,1
58.0,0,5,0,0,1
59.0,0,5,0,0,1
60.0,0,5,0,0,1
61.0,0,5,0,0,1
62.0,0,5,0,0,1
63.0,0,5,0,0,1
64.0,0,5,0,0,1
65.0,0,5,0,0,1
66.0,0,5,0,0,1
67.0,0,5,0,0,1
68.0,0,5,0,0,1
69.0,0,5,0,0,1
70.0,0,5,0,0,1
71.0,0,5,0,0,1
72.0,0,5,0,0,1
73.0,0,5,0,0,1
74.0,0,5,0,0,1
75.0,0,5,0,0,1
76.0,0,5,0,0,1
77.0,0,5,0,0,1
78.0,0,5,0,0,1
79.0,0,5,0,0,1
80.0,0,5,0,0,1
81.0,0,5,0,0,1
82.0,0,5,0,0,1
83.0,0,5,0,0,1
84.0,0,5,0,0,1
85.0,0,5,0,0,1
86.0,0,5,0,0,1
87.0,0,5,0,0,1
88.0,0,5,0,0,1
89.0,0,5,0,0,1
90.0,0,5,0,0,1
91.0,0,5,0,0,1
92.0,0,5,0,0,1
93.0,0,5,0,0,1
94.0,0,5,0,0,1
95.0,0,5,0,0,1
96.0,0,5,0,0,1
97.0,0,5,0,0,1
98.0,0,5,0,0,1
99.0,0,5,0,0,1
100.0,0,5,0,0,1
